dataset,variable,label
NFHS-5 Household,sh33d,person 04: who suffer from disability (line number)
NFHS-5 Household,sh33a1a,person 01: disablity - hearing
NFHS-5 Household,sh33a1b,person 01: disablity - speech
NFHS-5 Household,sh33a1c,person 01: disablity - visual
NFHS-5 Household,sh33a1d,person 01: disablity - mental
NFHS-5 Household,sh33a1e,person 01: disablity - locomotor
NFHS-5 Household,sh33a1x,person 01: disablity - other
NFHS-5 Household,sh33b1a,person 02: disablity - hearing
NFHS-5 Household,sh33b1b,person 02: disablity - speech
NFHS-5 Household,sh33b1c,person 02: disablity - visual
NFHS-5 Household,sh33b1d,person 02: disablity - mental
NFHS-5 Household,sh33b1e,person 02: disablity - locomotor
NFHS-5 Household,sh33b1x,person 02: disablity - other
NFHS-5 Household,sh33c1a,person 03: disablity - hearing
NFHS-5 Household,sh33c1b,person 03: disablity - speech
NFHS-5 Household,sh33c1c,person 03: disablity - visual
NFHS-5 Household,sh33c1d,person 03: disablity - mental
NFHS-5 Household,sh33c1e,person 03: disablity - locomotor
NFHS-5 Household,sh33c1x,person 03: disablity - other
NFHS-5 Household,sh33d1a,person 04: disablity - hearing
NFHS-5 Household,sh33d1b,person 04: disablity - speech
NFHS-5 Household,sh33d1c,person 04: disablity - visual
NFHS-5 Household,sh33d1d,person 04: disablity - mental
NFHS-5 Household,sh33d1e,person 04: disablity - locomotor
NFHS-5 Household,sh33d1x,person 04: disablity - other
NFHS-5 Household,sh37b,"in the past two weeks, was the water from this source not available for at least"
NFHS-5 Household,sh44,do member of your household have access to a toilet facility?
NFHS-5 Household,sh45,what kind of toilet facility do members of your household have access to?
NFHS-5 Household,sh46,what type of drainage facility does this household have?
NFHS-5 Household,sh47,what is the religion of the head of the household?
NFHS-5 Household,sh48,what is the caste or tribe of the head of the household?
NFHS-5 Household,sh49,"is this a scheduled caste, a scheduled tribe, other backward class, or none of t"
NFHS-5 Household,sh50b,mattress
NFHS-5 Household,sh50c,pressure cooker
NFHS-5 Household,sh50d,chair
NFHS-5 Household,sh50e,cot or bed
NFHS-5 Household,sh50f,table
NFHS-5 Household,sh50g,electric fan
NFHS-5 Household,sh50i,black and white television
NFHS-5 Household,sh50j,colour television
NFHS-5 Household,sh50k,sewing machine
NFHS-5 Household,sh50n,internet
NFHS-5 Household,sh50q,air conditioner/cooler
NFHS-5 Household,sh50r,washing machine
NFHS-5 Household,sh50x,water pump
NFHS-5 Household,sh50y,thresher
NFHS-5 Household,sh50z,tractor
NFHS-5 Household,sh52,"in this household, is food cooked on a stove, a chullah or an open fire?"
NFHS-5 Household,sh55,does the room used as kitchen have any ventalation?
NFHS-5 Household,sh56a,dispose the kitchen waste - let out into drain/sewer
NFHS-5 Household,sh56b,dispose the kitchen waste - open drain
NFHS-5 Household,sh56c,dispose the kitchen waste - closed drain
NFHS-5 Household,sh56d,dispose the kitchen waste - reuse for garden or farming
NFHS-5 Household,sh56e,dispose the kitchen waste - reuse for other domestic purposes
NFHS-5 Household,sh56f,dispose the kitchen waste - manual collection
NFHS-5 Household,sh56x,dispose the kitchen waste - other
