dataset,variable,label
NFHS-5 Individual,b7_02,"age at death (months, imputed)"
NFHS-5 Individual,b7_03,"age at death (months, imputed)"
NFHS-5 Individual,b7_04,"age at death (months, imputed)"
NFHS-5 Individual,b7_05,"age at death (months, imputed)"
NFHS-5 Individual,b7_06,"age at death (months, imputed)"
NFHS-5 Individual,b7_07,"age at death (months, imputed)"
NFHS-5 Individual,b7_08,"age at death (months, imputed)"
NFHS-5 Individual,b7_09,"age at death (months, imputed)"
NFHS-5 Individual,b7_10,"age at death (months, imputed)"
NFHS-5 Individual,b7_11,"age at death (months, imputed)"
NFHS-5 Individual,b7_12,"age at death (months, imputed)"
NFHS-5 Individual,b7_13,"age at death (months, imputed)"
NFHS-5 Individual,b7_14,"age at death (months, imputed)"
NFHS-5 Individual,b7_15,"age at death (months, imputed)"
NFHS-5 Individual,b7_16,"age at death (months, imputed)"
NFHS-5 Individual,b7_17,"age at death (months, imputed)"
NFHS-5 Individual,b7_18,"age at death (months, imputed)"
NFHS-5 Individual,b7_19,"age at death (months, imputed)"
NFHS-5 Individual,b7_20,"age at death (months, imputed)"
NFHS-5 Individual,b8_01,current age of child
NFHS-5 Individual,b8_02,current age of child
NFHS-5 Individual,b8_03,current age of child
NFHS-5 Individual,b8_04,current age of child
NFHS-5 Individual,b8_05,current age of child
NFHS-5 Individual,b8_06,current age of child
NFHS-5 Individual,b8_07,current age of child
NFHS-5 Individual,b8_08,current age of child
NFHS-5 Individual,b8_09,current age of child
NFHS-5 Individual,b8_10,current age of child
NFHS-5 Individual,b8_11,current age of child
NFHS-5 Individual,b8_12,current age of child
NFHS-5 Individual,b8_13,current age of child
NFHS-5 Individual,b8_14,current age of child
NFHS-5 Individual,b8_15,current age of child
NFHS-5 Individual,b8_16,current age of child
NFHS-5 Individual,b8_17,current age of child
NFHS-5 Individual,b8_18,current age of child
NFHS-5 Individual,b8_19,current age of child
NFHS-5 Individual,b8_20,current age of child
NFHS-5 Individual,b9_01,child lives with whom
NFHS-5 Individual,b9_02,child lives with whom
NFHS-5 Individual,b9_03,child lives with whom
NFHS-5 Individual,b9_04,child lives with whom
NFHS-5 Individual,b9_05,child lives with whom
NFHS-5 Individual,b9_06,child lives with whom
NFHS-5 Individual,b9_07,child lives with whom
NFHS-5 Individual,b9_08,child lives with whom
NFHS-5 Individual,b9_09,child lives with whom
NFHS-5 Individual,b9_10,child lives with whom
NFHS-5 Individual,b9_11,child lives with whom
NFHS-5 Individual,b9_12,child lives with whom
NFHS-5 Individual,b9_13,child lives with whom
NFHS-5 Individual,b9_14,child lives with whom
NFHS-5 Individual,b9_15,child lives with whom
NFHS-5 Individual,b9_16,child lives with whom
NFHS-5 Individual,b9_17,child lives with whom
NFHS-5 Individual,b9_18,child lives with whom
NFHS-5 Individual,b9_19,child lives with whom
NFHS-5 Individual,b9_20,child lives with whom
NFHS-5 Individual,b10_01,completeness of information
NFHS-5 Individual,b10_02,completeness of information
NFHS-5 Individual,b10_03,completeness of information
NFHS-5 Individual,b10_04,completeness of information
NFHS-5 Individual,b10_05,completeness of information
NFHS-5 Individual,b10_06,completeness of information
NFHS-5 Individual,b10_07,completeness of information
NFHS-5 Individual,b10_08,completeness of information
NFHS-5 Individual,b10_09,completeness of information
NFHS-5 Individual,b10_10,completeness of information
NFHS-5 Individual,b10_11,completeness of information
NFHS-5 Individual,b10_12,completeness of information
NFHS-5 Individual,b10_13,completeness of information
NFHS-5 Individual,b10_14,completeness of information
NFHS-5 Individual,b10_15,completeness of information
NFHS-5 Individual,b10_16,completeness of information
NFHS-5 Individual,b10_17,completeness of information
NFHS-5 Individual,b10_18,completeness of information
NFHS-5 Individual,b10_19,completeness of information
NFHS-5 Individual,b10_20,completeness of information
NFHS-5 Individual,b11_01,preceding birth interval (months)
NFHS-5 Individual,b11_02,preceding birth interval (months)
NFHS-5 Individual,b11_03,preceding birth interval (months)
NFHS-5 Individual,b11_04,preceding birth interval (months)
NFHS-5 Individual,b11_05,preceding birth interval (months)
NFHS-5 Individual,b11_06,preceding birth interval (months)
NFHS-5 Individual,b11_07,preceding birth interval (months)
NFHS-5 Individual,b11_08,preceding birth interval (months)
NFHS-5 Individual,b11_09,preceding birth interval (months)
NFHS-5 Individual,b11_10,preceding birth interval (months)
NFHS-5 Individual,b11_11,preceding birth interval (months)
NFHS-5 Individual,b11_12,preceding birth interval (months)
NFHS-5 Individual,b11_13,preceding birth interval (months)
NFHS-5 Individual,b11_14,preceding birth interval (months)
NFHS-5 Individual,b11_15,preceding birth interval (months)
NFHS-5 Individual,b11_16,preceding birth interval (months)
NFHS-5 Individual,b11_17,preceding birth interval (months)
NFHS-5 Individual,b11_18,preceding birth interval (months)
NFHS-5 Individual,b11_19,preceding birth interval (months)
NFHS-5 Individual,b11_20,preceding birth interval (months)
NFHS-5 Individual,b12_01,succeeding birth interval (months)
NFHS-5 Individual,b12_02,succeeding birth interval (months)
NFHS-5 Individual,b12_03,succeeding birth interval (months)
NFHS-5 Individual,b12_04,succeeding birth interval (months)
NFHS-5 Individual,b12_05,succeeding birth interval (months)
NFHS-5 Individual,b12_06,succeeding birth interval (months)
NFHS-5 Individual,b12_07,succeeding birth interval (months)
NFHS-5 Individual,b12_08,succeeding birth interval (months)
NFHS-5 Individual,b12_09,succeeding birth interval (months)
NFHS-5 Individual,b12_10,succeeding birth interval (months)
NFHS-5 Individual,b12_11,succeeding birth interval (months)
NFHS-5 Individual,b12_12,succeeding birth interval (months)
NFHS-5 Individual,b12_13,succeeding birth interval (months)
NFHS-5 Individual,b12_14,succeeding birth interval (months)
NFHS-5 Individual,b12_15,succeeding birth interval (months)
NFHS-5 Individual,b12_16,succeeding birth interval (months)
NFHS-5 Individual,b12_17,succeeding birth interval (months)
NFHS-5 Individual,b12_18,succeeding birth interval (months)
NFHS-5 Individual,b12_19,succeeding birth interval (months)
NFHS-5 Individual,b12_20,succeeding birth interval (months)
NFHS-5 Individual,b13_01,flag for age at death
NFHS-5 Individual,b13_02,flag for age at death
NFHS-5 Individual,b13_03,flag for age at death
NFHS-5 Individual,b13_04,flag for age at death
NFHS-5 Individual,b13_05,flag for age at death
NFHS-5 Individual,b13_06,flag for age at death
NFHS-5 Individual,b13_07,flag for age at death
NFHS-5 Individual,b13_08,flag for age at death
NFHS-5 Individual,b13_09,flag for age at death
NFHS-5 Individual,b13_10,flag for age at death
NFHS-5 Individual,b13_11,flag for age at death
NFHS-5 Individual,b13_12,flag for age at death
NFHS-5 Individual,b13_13,flag for age at death
NFHS-5 Individual,b13_14,flag for age at death
NFHS-5 Individual,b13_15,flag for age at death
NFHS-5 Individual,b13_16,flag for age at death
NFHS-5 Individual,b13_17,flag for age at death
NFHS-5 Individual,b13_18,flag for age at death
NFHS-5 Individual,b13_19,flag for age at death
NFHS-5 Individual,b13_20,flag for age at death
NFHS-5 Individual,b15_01,live birth between births
NFHS-5 Individual,b15_02,live birth between births
NFHS-5 Individual,b15_03,live birth between births
NFHS-5 Individual,b15_04,live birth between births
NFHS-5 Individual,b15_05,live birth between births
NFHS-5 Individual,b15_06,live birth between births
NFHS-5 Individual,b15_07,live birth between births
NFHS-5 Individual,b15_08,live birth between births
NFHS-5 Individual,b15_09,live birth between births
NFHS-5 Individual,b15_10,live birth between births
NFHS-5 Individual,b15_11,live birth between births
NFHS-5 Individual,b15_12,live birth between births
NFHS-5 Individual,b15_13,live birth between births
NFHS-5 Individual,b15_14,live birth between births
NFHS-5 Individual,b15_15,live birth between births
NFHS-5 Individual,b15_16,live birth between births
NFHS-5 Individual,b15_17,live birth between births
NFHS-5 Individual,b15_18,live birth between births
NFHS-5 Individual,b15_19,live birth between births
NFHS-5 Individual,b15_20,live birth between births
NFHS-5 Individual,b16_01,child's line number in household
NFHS-5 Individual,b16_02,child's line number in household
NFHS-5 Individual,b16_03,child's line number in household
NFHS-5 Individual,b16_04,child's line number in household
NFHS-5 Individual,b16_05,child's line number in household
NFHS-5 Individual,b16_06,child's line number in household
NFHS-5 Individual,b16_07,child's line number in household
NFHS-5 Individual,b16_08,child's line number in household
NFHS-5 Individual,b16_09,child's line number in household
NFHS-5 Individual,b16_10,child's line number in household
NFHS-5 Individual,b16_11,child's line number in household
NFHS-5 Individual,b16_12,child's line number in household
NFHS-5 Individual,b16_13,child's line number in household
NFHS-5 Individual,b16_14,child's line number in household
NFHS-5 Individual,b16_15,child's line number in household
NFHS-5 Individual,b16_16,child's line number in household
NFHS-5 Individual,b16_17,child's line number in household
NFHS-5 Individual,b16_18,child's line number in household
NFHS-5 Individual,b16_19,child's line number in household
NFHS-5 Individual,b16_20,child's line number in household
NFHS-5 Individual,b17_01,day of birth
NFHS-5 Individual,b17_02,day of birth
NFHS-5 Individual,b17_03,day of birth
NFHS-5 Individual,b17_04,day of birth
NFHS-5 Individual,b17_05,day of birth
NFHS-5 Individual,b17_06,day of birth
NFHS-5 Individual,b17_07,day of birth
NFHS-5 Individual,b17_08,day of birth
NFHS-5 Individual,b17_09,day of birth
NFHS-5 Individual,b17_10,day of birth
NFHS-5 Individual,b17_11,day of birth
NFHS-5 Individual,b17_12,day of birth
NFHS-5 Individual,b17_13,day of birth
NFHS-5 Individual,b17_14,day of birth
NFHS-5 Individual,b17_15,day of birth
NFHS-5 Individual,b17_16,day of birth
NFHS-5 Individual,b17_17,day of birth
NFHS-5 Individual,b17_18,day of birth
NFHS-5 Individual,b17_19,day of birth
NFHS-5 Individual,b17_20,day of birth
NFHS-5 Individual,b18_01,century day code of birth (cdc)
NFHS-5 Individual,b18_02,century day code of birth (cdc)
NFHS-5 Individual,b18_03,century day code of birth (cdc)
NFHS-5 Individual,b18_04,century day code of birth (cdc)
NFHS-5 Individual,b18_05,century day code of birth (cdc)
NFHS-5 Individual,b18_06,century day code of birth (cdc)
NFHS-5 Individual,b18_07,century day code of birth (cdc)
NFHS-5 Individual,b18_08,century day code of birth (cdc)
NFHS-5 Individual,b18_09,century day code of birth (cdc)
NFHS-5 Individual,b18_10,century day code of birth (cdc)
NFHS-5 Individual,b18_11,century day code of birth (cdc)
NFHS-5 Individual,b18_12,century day code of birth (cdc)
NFHS-5 Individual,b18_13,century day code of birth (cdc)
NFHS-5 Individual,b18_14,century day code of birth (cdc)
NFHS-5 Individual,b18_15,century day code of birth (cdc)
NFHS-5 Individual,b18_16,century day code of birth (cdc)
NFHS-5 Individual,b18_17,century day code of birth (cdc)
NFHS-5 Individual,b18_18,century day code of birth (cdc)
NFHS-5 Individual,b18_19,century day code of birth (cdc)
NFHS-5 Individual,b18_20,century day code of birth (cdc)
NFHS-5 Individual,b19_01,current age of child in months (months since birth for dead children)
NFHS-5 Individual,b19_02,current age of child in months (months since birth for dead children)
NFHS-5 Individual,b19_03,current age of child in months (months since birth for dead children)
NFHS-5 Individual,b19_04,current age of child in months (months since birth for dead children)
NFHS-5 Individual,b19_05,current age of child in months (months since birth for dead children)
NFHS-5 Individual,b19_06,current age of child in months (months since birth for dead children)
NFHS-5 Individual,b19_07,current age of child in months (months since birth for dead children)
NFHS-5 Individual,b19_08,current age of child in months (months since birth for dead children)
NFHS-5 Individual,b19_09,current age of child in months (months since birth for dead children)
NFHS-5 Individual,b19_10,current age of child in months (months since birth for dead children)
NFHS-5 Individual,b19_11,current age of child in months (months since birth for dead children)
NFHS-5 Individual,b19_12,current age of child in months (months since birth for dead children)
NFHS-5 Individual,b19_13,current age of child in months (months since birth for dead children)
NFHS-5 Individual,b19_14,current age of child in months (months since birth for dead children)
NFHS-5 Individual,b19_15,current age of child in months (months since birth for dead children)
NFHS-5 Individual,b19_16,current age of child in months (months since birth for dead children)
NFHS-5 Individual,b19_17,current age of child in months (months since birth for dead children)
NFHS-5 Individual,b19_18,current age of child in months (months since birth for dead children)
NFHS-5 Individual,b19_19,current age of child in months (months since birth for dead children)
NFHS-5 Individual,b19_20,current age of child in months (months since birth for dead children)
NFHS-5 Individual,b20_01,na - duration of pregnancy
NFHS-5 Individual,b20_02,na - duration of pregnancy
NFHS-5 Individual,b20_03,na - duration of pregnancy
NFHS-5 Individual,b20_04,na - duration of pregnancy
NFHS-5 Individual,b20_05,na - duration of pregnancy
NFHS-5 Individual,b20_06,na - duration of pregnancy
NFHS-5 Individual,b20_07,na - duration of pregnancy
NFHS-5 Individual,b20_08,na - duration of pregnancy
NFHS-5 Individual,b20_09,na - duration of pregnancy
NFHS-5 Individual,b20_10,na - duration of pregnancy
NFHS-5 Individual,b20_11,na - duration of pregnancy
NFHS-5 Individual,b20_12,na - duration of pregnancy
NFHS-5 Individual,b20_13,na - duration of pregnancy
NFHS-5 Individual,b20_14,na - duration of pregnancy
NFHS-5 Individual,b20_15,na - duration of pregnancy
NFHS-5 Individual,b20_16,na - duration of pregnancy
NFHS-5 Individual,b20_17,na - duration of pregnancy
NFHS-5 Individual,b20_18,na - duration of pregnancy
NFHS-5 Individual,b20_19,na - duration of pregnancy
NFHS-5 Individual,b20_20,na - duration of pregnancy
NFHS-5 Individual,v201,total children ever born
NFHS-5 Individual,v202,sons at home
NFHS-5 Individual,v203,daughters at home
NFHS-5 Individual,v204,sons elsewhere
NFHS-5 Individual,v205,daughters elsewhere
NFHS-5 Individual,v206,sons who have died
NFHS-5 Individual,v207,daughters who have died
NFHS-5 Individual,v208,births in last five years
NFHS-5 Individual,v209,births in past year
NFHS-5 Individual,v210,births in month of interview
NFHS-5 Individual,v211,date of first birth (cmc)
NFHS-5 Individual,v212,age of respondent at 1st birth
NFHS-5 Individual,v213,currently pregnant
NFHS-5 Individual,v214,duration of current pregnancy
NFHS-5 Individual,v215,time since last menstrual period
NFHS-5 Individual,v216,menstruated in last six weeks
NFHS-5 Individual,v217,knowledge of ovulatory cycle
NFHS-5 Individual,v218,number of living children
NFHS-5 Individual,v219,living children + current pregnancy
NFHS-5 Individual,v220,living children + current pregnancy (grouped)
NFHS-5 Individual,v221,marriage to first birth interval (months)
NFHS-5 Individual,v222,last birth to interview (months)
NFHS-5 Individual,v223,completeness of current pregnancy information
NFHS-5 Individual,v224,entries in birth history
NFHS-5 Individual,v225,current pregnancy wanted
NFHS-5 Individual,v226,time since last period (comp) (months)
NFHS-5 Individual,v227,flag for last period
NFHS-5 Individual,v228,ever had a terminated pregnancy
NFHS-5 Individual,v229,month pregnancy ended
NFHS-5 Individual,v230,year pregnancy ended
NFHS-5 Individual,v231,cmc pregnancy ended
NFHS-5 Individual,v232,completeness of last termination information
NFHS-5 Individual,v233,months when pregnancy ended
NFHS-5 Individual,v234,other such pregnancies
NFHS-5 Individual,v235,index last child prior to maternity-health (calendar)
NFHS-5 Individual,v237,birth between last and interview
NFHS-5 Individual,v238,births in last three years
NFHS-5 Individual,v239,pregnancies terminated before calendar beginning
NFHS-5 Individual,v240,month of last termination prior to calendar
NFHS-5 Individual,v241,year of last termination prior to calendar
NFHS-5 Individual,v242,cmc termination ended prior to calendar
NFHS-5 Individual,v243,completeness of last termination date prior to calendar
NFHS-5 Individual,v244,na - can women get pregnant after birth and before period
NFHS-5 Individual,v301,knowledge of any method
NFHS-5 Individual,v302,na - ever use of any method
NFHS-5 Individual,v302a,ever used anything or tried to delay or avoid getting pregnant
NFHS-5 Individual,v304a_01,type of method
