state,volume_mn,value_cr,ym,state_norm,pop_2011,vol_pc,val_pc,log_vol_pc,log_val_pc,period,t,treated,treat_date,treat_period,post,did,rel_t,state_code,month_code
GUJARAT,515.15,73518.28,2025-08,GUJARAT,60439692,8.523372356033846,12163.907122491624,2.142812078962461,9.406228413326772,2025-08-01,28,0,,2099-01-01,0,0,-99,10,27
DELHI,487.28,59774.16,2025-08,DELHI,16787941,29.025596408755547,35605.41462469996,3.3681780754781188,10.480253001474104,2025-08-01,28,0,,2099-01-01,0,0,-99,8,27
WEST BENGAL,436.15,62202.65,2025-08,WEST BENGAL,91276115,4.778358500468606,6814.7784335474835,1.5640970775808607,8.826848832017012,2025-08-01,28,0,,2099-01-01,0,0,-99,35,27
MADHYA PRADESH,436.1,55552.05,2025-08,MADHYA PRADESH,72626809,6.004669708123897,7648.9729846178425,1.792537451208895,8.942326667431441,2025-08-01,28,0,,2099-01-01,0,0,-99,19,27
HARYANA,401.3,53984.25,2025-08,HARYANA,25351462,15.829461827487503,21294.334030913087,2.761872876314852,9.966196308372776,2025-08-01,28,0,,2099-01-01,0,0,-99,11,27
KERALA,399.48,56071.45,2025-08,KERALA,33406061,11.958309002668708,16784.813390599986,2.481426350789567,9.728229791723498,2025-08-01,28,0,,2099-01-01,0,0,-99,16,27
BIHAR,399.25,55622.06,2025-08,BIHAR,104099452,3.835274752454989,5343.165495241992,1.3442410756571226,8.583573545695184,2025-08-01,28,0,,2099-01-01,0,0,-99,4,27
ODISHA,277.85,34040.3,2025-08,ODISHA,41974218,6.619539642167961,8109.811599110673,1.8900258270728552,9.000829916150433,2025-08-01,28,0,,2099-01-01,0,0,-99,25,27
PUNJAB,211.76,33563.64,2025-08,PUNJAB,27743338,7.632823418724884,12097.909775672992,2.0324578186203874,9.400787970850407,2025-08-01,28,0,,2099-01-01,0,0,-99,27,27
ASSAM,203.78,21464.88,2025-08,ASSAM,31205576,6.530243184743649,6878.539912225943,1.8764441837501347,8.83616168634492,2025-08-01,28,0,,2099-01-01,0,0,-99,3,27
JHARKHAND,171.24,21569.36,2025-08,JHARKHAND,32988134,5.190957451549093,6538.520790536379,1.6469181602307048,8.78546624005189,2025-08-01,28,1,2024-11,2024-11-01,1,1,9,14,27
CHHATTISGARH,134.57,16358.88,2025-08,CHHATTISGARH,25545198,5.267917672824458,6403.89634090916,1.6616351559731295,8.764661887369293,2025-08-01,28,1,2024-02,2024-02-01,1,1,18,6,27
UTTARAKHAND,108.74,12976.53,2025-08,UTTARAKHAND,10086292,10.780968863483231,12865.510933056468,2.3777824374610965,9.462305438894694,2025-08-01,28,0,,2099-01-01,0,0,-99,34,27
JAMMU AND KASHMIR,81.02,10254.43,2025-08,JAMMU AND KASHMIR,12541302,6.460254286197717,8176.527445077074,1.8656686802083016,9.009022821746898,2025-08-01,28,0,,2099-01-01,0,0,-99,13,27
HIMACHAL PRADESH,54.88,6738.67,2025-08,HIMACHAL PRADESH,6864602,7.994636834007274,9816.548723436552,2.0787709211150323,9.191824885748943,2025-08-01,28,0,,2099-01-01,0,0,-99,12,27
GOA,32.27,4537.72,2025-08,GOA,1458545,22.124788744947878,31111.278705833553,3.096698642597465,10.345325691773878,2025-08-01,28,0,,2099-01-01,0,0,-99,9,27
CHANDIGARH,26.58,3188.55,2025-08,CHANDIGARH,1055450,25.183570988677815,30210.336823156,3.2261918370151568,10.315939423711347,2025-08-01,28,0,,2099-01-01,0,0,-99,5,27
ARUNACHAL PRADESH,21.4,2707.2,2025-08,ARUNACHAL PRADESH,1383727,15.465478378321736,19564.552834482525,2.7386103386247833,9.881474679002928,2025-08-01,28,0,,2099-01-01,0,0,-99,2,27
PUDUCHERRY,18.83,2548.23,2025-08,PUDUCHERRY,1247953,15.088709270301045,20419.278610652804,2.7139467336874006,9.924234763506611,2025-08-01,28,0,,2099-01-01,0,0,-99,26,27
MEGHALAYA,15.91,2008.23,2025-08,MEGHALAYA,2966889,5.362519460620199,6768.807326462163,1.6794339132676341,8.82008017999686,2025-08-01,28,0,,2099-01-01,0,0,-99,22,27
MANIPUR,14.85,2861.63,2025-08,MANIPUR,2855794,5.19995489870768,10020.435647669265,1.6486499522243219,9.212381851505027,2025-08-01,28,0,,2099-01-01,0,0,-99,21,27
TRIPURA,14.59,1874.19,2025-08,TRIPURA,3673917,3.971238326832098,5101.340068379334,1.3790779671782187,8.5372585427032,2025-08-01,28,0,,2099-01-01,0,0,-99,32,27
NAGALAND,12.24,1752.82,2025-08,NAGALAND,1978502,6.186498674249508,8859.328926632372,1.8223692843745307,9.08922629881548,2025-08-01,28,0,,2099-01-01,0,0,-99,24,27
MIZORAM,11.86,1704.97,2025-08,MIZORAM,1097206,10.809273737110443,15539.196832682286,2.380404445038036,9.651120938717403,2025-08-01,28,0,,2099-01-01,0,0,-99,23,27
DADRA & NAGAR HAVELI & DAMAN & DIU,10.82,1112.7,2025-08,DADRA AND NAGAR HAVELI & DAMAN AND DIU,586956,18.43409045993226,18957.12796189152,2.9142016927923855,9.84993528553175,2025-08-01,28,0,,2099-01-01,0,0,-99,7,27
SIKKIM,8.11,988.11,2025-08,SIKKIM,610577,13.282518011651273,16183.216858807325,2.586448735385804,9.691729987835389,2025-08-01,28,0,,2099-01-01,0,0,-99,29,27
LADAKH,4.48,781.31,2025-08,LADAKH,274289,16.333137675954923,28484.919191072186,2.7931960303476,10.257130075016393,2025-08-01,28,0,,2099-01-01,0,0,-99,17,27
ANDAMAN & NICOBAR,3.77,551.26,2025-08,ANDAMAN AND NICOBAR ISLANDS,380581,9.905907021107202,14484.695767786621,2.2931312480031996,9.580847906723413,2025-08-01,28,0,,2099-01-01,0,0,-99,0,27
LAKSHADWEEP,0.56,55.68,2025-08,LAKSHADWEEP,64473,8.685806461619594,8636.17328183891,2.1616902522180164,9.063714856491169,2025-08-01,28,0,,2099-01-01,0,0,-99,18,27
MAHARASHTRA,2349.39,263704.89,2025-12,MAHARASHTRA,112374333,20.906820421350133,23466.647850982128,3.040075441684538,10.063335451672964,2025-12-01,32,1,2024-08,2024-08-01,1,1,16,20,31
KARNATAKA,1166.38,162279.52,2025-12,KARNATAKA,61095297,19.091158522398214,26561.704086650076,2.9492253232927,10.187225761421146,2025-12-01,32,0,,2099-01-01,0,0,-99,15,31
UTTAR PRADESH,1147.64,155131.4,2025-12,UTTAR PRADESH,199812341,5.743589181010596,7763.854786126549,1.7480843077763406,8.957234240626939,2025-12-01,32,0,,2099-01-01,0,0,-99,33,31
TELANGANA,887.11,141323.58,2025-12,TELANGANA,35003674,25.34333967342971,40373.927605427925,3.232515960740416,10.605939499315937,2025-12-01,32,0,,2099-01-01,0,0,-99,31,31
TAMIL NADU,862.86,131083.27,2025-12,TAMIL NADU,72147030,11.959743873032611,18168.907299441154,2.481546332994898,9.807467021961688,2025-12-01,32,0,,2099-01-01,0,0,-99,30,31
ANDHRA PRADESH,609.84,102547.67,2025-12,ANDHRA PRADESH,84580777,7.210148944363564,12124.22888950287,1.9754896091089431,9.402961117041293,2025-12-01,32,0,,2099-01-01,0,0,-99,1,31
RAJASTHAN,557.06,85129.75,2025-12,RAJASTHAN,68548437,8.12651643683721,12418.919194320944,2.09513234918099,9.42697633030966,2025-12-01,32,0,,2099-01-01,0,0,-99,28,31
GUJARAT,555.31,86699.29,2025-12,GUJARAT,60439692,9.187836364222372,14344.760393550647,2.217880474940609,9.571140025142515,2025-12-01,32,0,,2099-01-01,0,0,-99,10,31
DELHI,516.9,66575.96,2025-12,DELHI,16787941,30.789958101472955,39657.013328793575,3.427188601151883,10.588023092349367,2025-12-01,32,0,,2099-01-01,0,0,-99,8,31
WEST BENGAL,478.71,71148.03,2025-12,WEST BENGAL,91276115,5.244636014580594,7794.813571984303,1.6572058427920786,8.961213864847224,2025-12-01,32,0,,2099-01-01,0,0,-99,35,31
MADHYA PRADESH,468.42,64115.4,2025-12,MADHYA PRADESH,72626809,6.449684440906663,8828.06237569931,1.8640312057204287,9.08569083301765,2025-12-01,32,0,,2099-01-01,0,0,-99,19,31
BIHAR,453.98,66791.87,2025-12,BIHAR,104099452,4.3610219965423065,6416.159616286933,1.4727064327695567,8.766575027087109,2025-12-01,32,0,,2099-01-01,0,0,-99,4,31
KERALA,451.69,62079.79,2025-12,KERALA,33406061,13.521199042293553,18583.391199579022,2.6042587532425716,9.830023514528099,2025-12-01,32,0,,2099-01-01,0,0,-99,16,31
HARYANA,418.1,61294.14,2025-12,HARYANA,25351462,16.492145502298843,24177.753535476575,2.8028842374045,10.093188213958495,2025-12-01,32,0,,2099-01-01,0,0,-99,11,31
ODISHA,304.59,39185.24,2025-12,ODISHA,41974218,7.256597371272051,9335.549741510373,1.9819110373281659,9.14158494460183,2025-12-01,32,0,,2099-01-01,0,0,-99,25,31
PUNJAB,226.99,40564.96,2025-12,PUNJAB,27743338,8.181784037666988,14621.513820723376,2.101910224349152,9.59024927245253,2025-12-01,32,0,,2099-01-01,0,0,-99,27,31
ASSAM,226.36,24938.06,2025-12,ASSAM,31205576,7.25383181518585,7991.539717132605,1.9815298554783185,8.986138725718476,2025-12-01,32,0,,2099-01-01,0,0,-99,3,31
JHARKHAND,185.9,25154.32,2025-12,JHARKHAND,32988134,5.635359672056625,7625.263071866993,1.7290609736813578,8.939222102108916,2025-12-01,32,1,2024-11,2024-11-01,1,1,13,14,31
CHHATTISGARH,145.48,18789.15,2025-12,CHHATTISGARH,25545198,5.695003812458216,7355.257140696267,1.7395892663384678,8.90317059376992,2025-12-01,32,1,2024-02,2024-02-01,1,1,22,6,31
UTTARAKHAND,119.35,15420.17,2025-12,UTTARAKHAND,10086292,11.832891611704282,15288.244679015837,2.4708830785281606,9.634839490437237,2025-12-01,32,0,,2099-01-01,0,0,-99,34,31
JAMMU AND KASHMIR,86.74,11912.84,2025-12,JAMMU AND KASHMIR,12541302,6.916347281964823,9498.886160304568,1.9338877808409773,9.15892982443102,2025-12-01,32,0,,2099-01-01,0,0,-99,13,31
HIMACHAL PRADESH,63.08,8446.08,2025-12,HIMACHAL PRADESH,6864602,9.189170763286786,12303.816011474519,2.21802569979224,9.417664738079859,2025-12-01,32,0,,2099-01-01,0,0,-99,12,31
GOA,40.24,5990.21,2025-12,GOA,1458545,27.5891384907562,41069.76473129043,3.3174221623250784,10.62302747845332,2025-12-01,32,0,,2099-01-01,0,0,-99,9,31
CHANDIGARH,28.15,3611.27,2025-12,CHANDIGARH,1055450,26.671088161447724,34215.453124259795,3.283580138315757,10.440432666737742,2025-12-01,32,0,,2099-01-01,0,0,-99,5,31
ARUNACHAL PRADESH,21.96,3004.14,2025-12,ARUNACHAL PRADESH,1383727,15.870182485418006,21710.496362360496,2.7644420332383075,9.985551125916388,2025-12-01,32,0,,2099-01-01,0,0,-99,2,31
PUDUCHERRY,20.29,2793.2,2025-12,PUDUCHERRY,1247953,16.258625124503887,22382.25317780397,2.788623544856063,10.016023654984265,2025-12-01,32,0,,2099-01-01,0,0,-99,26,31
MEGHALAYA,18.22,2509.94,2025-12,MEGHALAYA,2966889,6.141112795254558,8459.837897541836,1.8150059627497508,9.04308529136963,2025-12-01,32,0,,2099-01-01,0,0,-99,22,31
MANIPUR,17.44,3504.46,2025-12,MANIPUR,2855794,6.106883059492386,12271.403329511862,1.8094165054564468,9.415026901948481,2025-12-01,32,0,,2099-01-01,0,0,-99,21,31
TRIPURA,16.38,2229.75,2025-12,TRIPURA,3673917,4.45845673704659,6069.1354758422685,1.4948026830684475,8.710971448183887,2025-12-01,32,0,,2099-01-01,0,0,-99,32,31
MIZORAM,14.82,2281.39,2025-12,MIZORAM,1097206,13.507035141987922,20792.722606329167,2.6032106713363974,9.942358329773265,2025-12-01,32,0,,2099-01-01,0,0,-99,23,31
NAGALAND,13.85,2243.67,2025-12,NAGALAND,1978502,7.0002456403885365,11340.246307559963,1.9459452399236983,9.336113297289245,2025-12-01,32,0,,2099-01-01,0,0,-99,24,31
DADRA & NAGAR HAVELI & DAMAN & DIU,11.17,1226.22,2025-12,DADRA AND NAGAR HAVELI & DAMAN AND DIU,586956,19.03038728627018,20891.174125488113,2.946037032455159,9.947082058116596,2025-12-01,32,0,,2099-01-01,0,0,-99,7,31
SIKKIM,9.23,1263.74,2025-12,SIKKIM,610577,15.116848489215938,20697.471408192578,2.7158099157732436,9.937766817598433,2025-12-01,32,0,,2099-01-01,0,0,-99,29,31
ANDAMAN & NICOBAR,4.64,743.64,2025-12,ANDAMAN AND NICOBAR ISLANDS,380581,12.191885564439634,19539.59866624976,2.500770612781444,9.880198386299343,2025-12-01,32,0,,2099-01-01,0,0,-99,0,31
LADAKH,3.03,554.47,2025-12,LADAKH,274289,11.046742669228442,20214.809926756086,2.402135603441984,9.914170779446254,2025-12-01,32,0,,2099-01-01,0,0,-99,17,31
LAKSHADWEEP,0.69,73.3,2025-12,LAKSHADWEEP,64473,10.702154390209856,11369.100243512788,2.3704450660801264,9.33865444935761,2025-12-01,32,0,,2099-01-01,0,0,-99,18,31
MAHARASHTRA,1892.66,219913.73,2025-02,MAHARASHTRA,112374333,16.842458143889495,19569.747301636933,2.823902968701274,9.88174014776904,2025-02-01,22,1,2024-08,2024-08-01,1,1,6,20,21
KARNATAKA,974.07,132442.52,2025-02,KARNATAKA,61095297,15.943453061534344,21678.022123372277,2.7690482786049944,9.984054220920072,2025-02-01,22,0,,2099-01-01,0,0,-99,15,21
UTTAR PRADESH,852.17,122496.48,2025-02,UTTAR PRADESH,199812341,4.264851689015545,6130.576289079161,1.45040740636845,8.721044035780507,2025-02-01,22,0,,2099-01-01,0,0,-99,33,21
TELANGANA,703.4,111063.09,2025-02,TELANGANA,35003674,20.09503345277413,31728.980792130562,3.000472692631012,10.364985762792214,2025-02-01,22,0,,2099-01-01,0,0,-99,31,21
TAMIL NADU,651.15,99837.67,2025-02,TAMIL NADU,72147030,9.025319545378375,13838.084533763898,2.2000339102822672,9.535179818853791,2025-02-01,22,0,,2099-01-01,0,0,-99,30,21
ANDHRA PRADESH,463.16,81827.59,2025-02,ANDHRA PRADESH,84580777,5.475948748969284,9674.4902213419,1.7003655481729971,9.177247826209221,2025-02-01,22,0,,2099-01-01,0,0,-99,1,21
RAJASTHAN,460.58,71687.84,2025-02,RAJASTHAN,68548437,6.7190445203002955,10457.983163058845,1.9049459599467642,9.255120904788743,2025-02-01,22,0,,2099-01-01,0,0,-99,28,21
GUJARAT,416.26,62967.52,2025-02,GUJARAT,60439692,6.887195917543723,10418.239722333463,1.9296640236014895,9.251313368439083,2025-02-01,22,0,,2099-01-01,0,0,-99,10,21
MADHYA PRADESH,389.67,53550.1,2025-02,MADHYA PRADESH,72626809,5.365374100354595,7373.32408477426,1.6799661034474764,8.905623912642003,2025-02-01,22,0,,2099-01-01,0,0,-99,19,21
WEST BENGAL,361.07,56774.96,2025-02,WEST BENGAL,91276115,3.9557993895774377,6220.133273639002,1.3751827020543854,8.735546612133742,2025-02-01,22,0,,2099-01-01,0,0,-99,35,21
DELHI,359.92,46373.85,2025-02,DELHI,16787941,21.439198529468264,27623.31008906929,3.065220953482806,10.226415263702535,2025-02-01,22,0,,2099-01-01,0,0,-99,8,21
BIHAR,357.22,56338.15,2025-02,BIHAR,104099452,3.431526229359978,5411.954522104496,1.2330051270383384,8.596365586096557,2025-02-01,22,0,,2099-01-01,0,0,-99,4,21
KERALA,329.57,45039.43,2025-02,KERALA,33406061,9.865574992514084,13482.412667569517,2.2890514238899557,9.509141349724764,2025-02-01,22,0,,2099-01-01,0,0,-99,16,21
HARYANA,302.23,44342.88,2025-02,HARYANA,25351462,11.921600418942308,17491.25158935607,2.478351915958775,9.769456125735699,2025-02-01,22,0,,2099-01-01,0,0,-99,11,21
ODISHA,249.75,34812.97,2025-02,ODISHA,41974218,5.950081071194703,8293.893646809573,1.783404844875588,9.023274817817141,2025-02-01,22,0,,2099-01-01,0,0,-99,25,21
PUNJAB,166.68,29146.47,2025-02,PUNJAB,27743338,6.007928822407743,10505.754570700901,1.793080067255794,9.259678440371145,2025-02-01,22,0,,2099-01-01,0,0,-99,27,21
ASSAM,161.35,20021.98,2025-02,ASSAM,31205576,5.170550288832996,6416.154600062501,1.6429791217019665,8.766574245275763,2025-02-01,22,0,,2099-01-01,0,0,-99,3,21
JHARKHAND,142.33,19879.81,2025-02,JHARKHAND,32988134,4.314581722021622,6026.351778491017,1.4620003840364935,8.703897094768834,2025-02-01,22,1,2024-11,2024-11-01,1,1,3,14,21
CHHATTISGARH,111.86,15520.81,2025-02,CHHATTISGARH,25545198,4.378905186015783,6075.822939403328,1.4767987356131214,8.712072722310696,2025-02-01,22,1,2024-02,2024-02-01,1,1,12,6,21
UTTARAKHAND,89.78,11561.18,2025-02,UTTARAKHAND,10086292,8.901189852524595,11462.269781600611,2.186184959097108,9.34681603187889,2025-02-01,22,0,,2099-01-01,0,0,-99,34,21
JAMMU AND KASHMIR,60.94,8287.11,2025-02,JAMMU AND KASHMIR,12541302,4.8591446087495545,6607.854591174027,1.58086241599132,8.79601430999109,2025-02-01,22,0,,2099-01-01,0,0,-99,13,21
HIMACHAL PRADESH,46.84,5949.44,2025-02,HIMACHAL PRADESH,6864602,6.823410883835654,8666.838951478905,1.9203594764269192,9.06725940715472,2025-02-01,22,0,,2099-01-01,0,0,-99,12,21
GOA,29.53,4063.02,2025-02,GOA,1458545,20.246204265209506,27856.66537542551,3.0079673322894256,10.234827547974332,2025-02-01,22,0,,2099-01-01,0,0,-99,9,21
CHANDIGARH,21.37,2680.5,2025-02,CHANDIGARH,1055450,20.247287886683406,25396.750201335923,3.008020853061114,10.142376499991697,2025-02-01,22,0,,2099-01-01,0,0,-99,5,21
ARUNACHAL PRADESH,15.28,2142.1,2025-02,ARUNACHAL PRADESH,1383727,11.042640636483931,15480.654782337846,2.401764200335352,9.647346444849793,2025-02-01,22,0,,2099-01-01,0,0,-99,2,21
PUDUCHERRY,15.15,2116.13,2025-02,PUDUCHERRY,1247953,12.139880267926756,16956.808469549735,2.496495922973718,9.738424711776387,2025-02-01,22,0,,2099-01-01,0,0,-99,26,21
TRIPURA,11.48,1676.35,2025-02,TRIPURA,3673917,3.1247303627164142,4562.841240017126,1.1393479955349448,8.425700787426461,2025-02-01,22,0,,2099-01-01,0,0,-99,32,21
MEGHALAYA,10.88,1615.02,2025-02,MEGHALAYA,2966889,3.667140900788671,5443.479685286507,1.299412312345735,8.60217378339299,2025-02-01,22,0,,2099-01-01,0,0,-99,22,21
MANIPUR,10.19,2353.44,2025-02,MANIPUR,2855794,3.568184539921297,8240.930543309496,1.2720569342102468,9.016868546540692,2025-02-01,22,0,,2099-01-01,0,0,-99,21,21
DADRA & NAGAR HAVELI & DAMAN & DIU,9.32,967.59,2025-02,DADRA AND NAGAR HAVELI & DAMAN AND DIU,586956,15.878532632769748,16484.881319894506,2.7649680480715495,9.710198956201452,2025-02-01,22,0,,2099-01-01,0,0,-99,7,21
