state_canon,round,bank_account_use,mobile_use,decisions,child_marriage,literacy,pop_2011,deposits_cr_2013,offices_2013,deposits_cr_2016,offices_2020,deposits_cr_2020,deposits_pc,log_deposits_pc,branch_density,log_branch,deposits_pc_std,log_deposits_pc_std,branch_density_std,log_branch_std,t,state_code
JHARKHAND,NFHS-5,79.62,49.03,90.95,32.21,65.01,32988134.0,112971.5,2441.0,159622.4077,6178.0,475370.9583,144103.6217144019,11.878287915012525,18.727946236668007,2.9300168594384406,-0.11640128052517716,0.3565890618250439,-0.06121307077380342,0.2728521631758955,2,16
KARNATAKA,NFHS-3,22.1,,68.6,41.2,59.7,61095297.0,501812.8,8023.0,696063.4764,20968.0,2150713.602,82136.0766934319,11.316132622715482,13.131943691181334,2.57504771172133,-0.37949339876545296,-0.2269844381496795,-0.4330493235765965,-0.25882466338444116,0,17
KARNATAKA,NFHS-4,59.4,47.1,80.4,23.2,71.7,61095297.0,501812.8,8023.0,696063.4764,20968.0,2150713.602,113930.77873080803,11.643346338837835,13.131943691181334,2.57504771172133,-0.24450442179370138,0.1126961735492629,-0.4330493235765965,-0.25882466338444116,1,17
KARNATAKA,NFHS-5,88.69,61.79,82.7,21.25,76.69,61095297.0,501812.8,8023.0,696063.4764,20968.0,2150713.602,352026.0490754305,12.771460454897344,34.320153971917016,3.5357327609709164,0.7663632670385727,1.2837916201289492,0.9748386554488295,1.1801003293758803,2,17
KERALA,NFHS-3,27.0,,88.0,15.4,93.0,33406061.0,264924.0,5464.0,366136.6759,13170.0,1095301.3426,79304.17177888767,11.281046013791387,16.356313304941878,2.7946139576712135,-0.3915166580759575,-0.26340785255606586,-0.21880040122775207,0.07004415695437297,0,18
KERALA,NFHS-4,70.6,81.2,92.1,7.6,97.9,33406061.0,264924.0,5464.0,366136.6759,13170.0,1095301.3426,109601.87012171233,11.604609716504788,16.356313304941878,2.7946139576712135,-0.2628834254358522,0.07248367963192251,-0.21880040122775207,0.07004415695437297,1,18
KERALA,NFHS-5,78.53,86.56,94.1,6.29,98.27,33406061.0,264924.0,5464.0,366136.6759,13170.0,1095301.3426,327875.0351919671,12.700387824502656,39.42398356992763,3.6743743511579146,0.6638266666600923,1.2100111110059961,1.3139716092390077,1.3877592799465546,2,18
LADAKH,NFHS-5,88.38,81.15,80.42,2.46,76.8,,,,,136.0,9910.2523,,,,,,,,,2,19
LAKSHADWEEP,NFHS-3,,,,,,64473.0,670.2,12.0,754.8396,26.0,2229.3428,103950.49090316877,11.551670015768215,18.61244241775627,2.923830304264913,-0.28687716811329006,0.017526967723690733,-0.06888792561160041,0.26358587047650034,0,20
LAKSHADWEEP,NFHS-4,72.6,68.0,80.4,0.9,95.7,64473.0,670.2,12.0,754.8396,26.0,2229.3428,117078.4049136848,11.670599116812134,18.61244241775627,2.923830304264913,-0.23114072246365097,0.14098728677797565,-0.06888792561160041,0.26358587047650034,1,20
