state_name_raw,district_name_raw,state_name_match,district_name_match,reporting_offices_total,population_total_2011,_merge
HIMACHAL PRADESH,Simla,HIMACHAL PRADESH,SIMLA,199.0,,left_only
JAMMU & KASHMIR,Bandipora,JAMMU AND KASHMIR,BANDIPORA,20.0,,left_only
JAMMU & KASHMIR,Baramulla,JAMMU AND KASHMIR,BARAMULLA,117.0,,left_only
JAMMU & KASHMIR,Poonch,JAMMU AND KASHMIR,POONCH,27.0,,left_only
JAMMU & KASHMIR,Shopian,JAMMU AND KASHMIR,SHOPIAN,24.0,,left_only
JHARKHAND,Hazaribag,JHARKHAND,HAZARIBAG,126.0,,left_only
JHARKHAND,Koderma,JHARKHAND,KODERMA,51.0,,left_only
JHARKHAND,Lohardagga,JHARKHAND,LOHARDAGGA,35.0,,left_only
JHARKHAND,Palamau,JHARKHAND,PALAMAU,100.0,,left_only
JHARKHAND,Paschimi Singhbhum,JHARKHAND,PASCHIMI SINGHBHUM,116.0,,left_only
JHARKHAND,Sahebganj,JHARKHAND,SAHEBGANJ,62.0,,left_only
JHARKHAND,Seraikela-Kharsawan,JHARKHAND,SERAIKELA KHARSAWAN,86.0,,left_only
KARNATAKA,Bagalkote,KARNATAKA,BAGALKOTE,206.0,,left_only
KARNATAKA,Bangalore Urban,KARNATAKA,BENGALURU URBAN,1848.0,,left_only
KARNATAKA,Davangere,KARNATAKA,DAVANGERE,184.0,,left_only
KARNATAKA,Udipi,KARNATAKA,UDIPI,305.0,,left_only
KERALA,Alapuzha,KERALA,ALAPUZHA,335.0,,left_only
MADHYA PRADESH,Agar-Malwa,MADHYA PRADESH,AGAR MALWA,28.0,,left_only
MADHYA PRADESH,East Nimar,MADHYA PRADESH,EAST NIMAR,83.0,,left_only
MADHYA PRADESH,West Nimar,MADHYA PRADESH,WEST NIMAR,106.0,,left_only
MAHARASHTRA,Buldhana,MAHARASHTRA,BULDHANA,151.0,,left_only
MAHARASHTRA,Gondia,MAHARASHTRA,GONDIA,82.0,,left_only
MAHARASHTRA,Nasik,MAHARASHTRA,NASIK,455.0,,left_only
MAHARASHTRA,Raigad,MAHARASHTRA,RAIGAD,329.0,,left_only
MANIPUR,Bishenpur,MANIPUR,BISHENPUR,9.0,,left_only
MEGHALAYA,Ri Bhoi,MEGHALAYA,RI BHOI,22.0,,left_only
NCT of DELHI,NCT of DELHI,DELHI,DELHI,2969.0,,left_only
ODISHA,Angul,ODISHA,ANGUL,124.0,,left_only
ODISHA,Boudh,ODISHA,BOUDH,29.0,,left_only
ODISHA,Deogarh,ODISHA,DEOGARH,27.0,,left_only
ODISHA,Jagatsinghpur,ODISHA,JAGATSINGHPUR,120.0,,left_only
ODISHA,Jajpur,ODISHA,JAJPUR,141.0,,left_only
ODISHA,Keonjhar,ODISHA,KEONJHAR,168.0,,left_only
ODISHA,Khurda,ODISHA,KHURDA,451.0,,left_only
ODISHA,Nawapara,ODISHA,NAWAPARA,42.0,,left_only
ODISHA,Nawrangpur,ODISHA,NAWRANGPUR,50.0,,left_only
ODISHA,Sonepur,ODISHA,SONEPUR,47.0,,left_only
PUNJAB,Fazilka,PUNJAB,FAZILKA,119.0,,left_only
PUNJAB,Ferozpur,PUNJAB,FEROZPUR,133.0,,left_only
PUNJAB,Pathankot,PUNJAB,PATHANKOT,92.0,,left_only
RAJASTHAN,Dholpur,RAJASTHAN,DHOLPUR,47.0,,left_only
RAJASTHAN,Jhunjhunu,RAJASTHAN,JHUNJHUNU,173.0,,left_only
SIKKIM,East Sikkim,SIKKIM,EAST SIKKIM,65.0,,left_only
SIKKIM,North Sikkim,SIKKIM,NORTH SIKKIM,8.0,,left_only
SIKKIM,South Sikkim,SIKKIM,SOUTH SIKKIM,22.0,,left_only
SIKKIM,West Sikkim,SIKKIM,WEST SIKKIM,9.0,,left_only
TAMIL NADU,Kanyakumari,TAMIL NADU,KANYAKUMARI,224.0,,left_only
