snapshot_label,snapshot_year,snapshot_month,source_file,sheet_name,row_type,region_name_raw,state_name_raw,district_name_raw,bank_group,offices,deposits_million_rs,credit_million_rs,region_name_clean,state_name_clean,district_name_clean
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Kaithal,new_private_banks,17.0,2371.0,4165.0,NORTHERN REGION,HARYANA,KAITHAL
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Karnal,state_bank_of_india_and_its_associates,40.0,17019.0,31962.0,NORTHERN REGION,HARYANA,KARNAL
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Karnal,nationalised_banks,141.0,41902.0,45794.0,NORTHERN REGION,HARYANA,KARNAL
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Karnal,foreign_banks,0.0,0.0,0.0,NORTHERN REGION,HARYANA,KARNAL
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Karnal,regional_rural_banks,8.0,243.0,585.0,NORTHERN REGION,HARYANA,KARNAL
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Karnal,old_private_banks,4.0,992.0,729.0,NORTHERN REGION,HARYANA,KARNAL
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Karnal,new_private_banks,31.0,8369.0,11377.0,NORTHERN REGION,HARYANA,KARNAL
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Kurukshetra,state_bank_of_india_and_its_associates,22.0,12316.0,8703.0,NORTHERN REGION,HARYANA,KURUKSHETRA
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Kurukshetra,nationalised_banks,88.0,26683.0,18522.0,NORTHERN REGION,HARYANA,KURUKSHETRA
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Kurukshetra,foreign_banks,0.0,0.0,0.0,NORTHERN REGION,HARYANA,KURUKSHETRA
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Kurukshetra,regional_rural_banks,14.0,1130.0,1742.0,NORTHERN REGION,HARYANA,KURUKSHETRA
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Kurukshetra,old_private_banks,0.0,0.0,0.0,NORTHERN REGION,HARYANA,KURUKSHETRA
