rbi_state,rbi_district,census_state,census_district,population_2011,reporting_offices_dec2013,deposits_crore_dec2013,credit_crore_dec2013,deposits_crore_2015_16,accounts_thousands_2015_16,branch_density_2013,deposits_per_capita_2013_rs,credit_per_capita_2013_rs,deposits_per_capita_2015_16_rs,accounts_per_capita_2015_16
ARUNACHAL PRADESH,UPPER SUBANSIRI,ARUNACHAL PRADESH,UPPER SUBANSIRI,83448,4.0,135.1,51.2,249.1061,57.94,4.793404275716614,16189.722941232863,6135.557472917266,29851.65612117726,0.6943246093375516
ARUNACHAL PRADESH,WEST KAMENG,ARUNACHAL PRADESH,WEST KAMENG,83947,9.0,388.7,90.7,528.7403,94.675,10.721050186427151,46303.024527380374,10804.436132321584,62985.01435429497,1.1277949182222116
ARUNACHAL PRADESH,WEST SIANG,ARUNACHAL PRADESH,WEST SIANG,112274,9.0,409.5,137.0,530.3520000000001,121.15899999999999,8.016103461175339,36473.27074834779,12202.29082423357,47237.294476014045,1.0791367547250474
ASSAM,BAKSA,ASSAM,BAKSA,950075,28.0,436.7,212.9,730.246,719.726,2.947135752440597,4596.479225324317,2240.875720337868,7686.193195274057,0.7575465094860933
ASSAM,BARPETA,ASSAM,BARPETA,1693622,69.0,1711.3,796.7,2458.3594000000003,1588.716,4.074108626364088,10104.379843908499,4704.119337136622,14515.39599745398,0.9380581971656013
ASSAM,BONGAIGAON,ASSAM,BONGAIGAON,738804,38.0,1178.7,467.8,1676.2756,744.2189999999999,5.143448059295835,15954.163756557897,6331.855268785767,22689.04337280253,1.0073294134844963
ASSAM,CACHAR,ASSAM,CACHAR,1736617,104.0,4312.0,1529.0,5841.1672,1724.783,5.988654953855686,24829.884770217035,8804.474446582062,33635.32200824937,0.9931856016611608
ASSAM,CHIRANG,ASSAM,CHIRANG,482162,17.0,735.1,229.9,1064.7221,553.944,3.5257859391656745,15245.913199298162,4768.106984789345,22082.24828999382,1.1488752742854063
ASSAM,DARRANG,ASSAM,DARRANG,928500,38.0,839.3,484.7,1182.7828,886.2339999999999,4.092622509423801,9039.31071620894,5220.247711362413,12738.640818524502,0.9544792676359719
ASSAM,DHEMAJI,ASSAM,DHEMAJI,686133,21.0,486.8,342.2,697.3380999999999,633.693,3.06063110213326,7094.83438342129,4987.371253095245,10163.30798839292,0.9235716690495865
ASSAM,DHUBRI,ASSAM,DHUBRI,1949258,55.0,1385.5,538.5,1835.63,1408.826,2.82158647033897,7107.832826644805,2762.5896623227914,9417.070495542406,0.722749887393049
ASSAM,DIBRUGARH,ASSAM,DIBRUGARH,1326335,118.0,6186.5,1820.2,8022.455100000001,1626.7170000000003,8.89669653594303,46643.57044034878,13723.531385358903,60485.88855756654,1.2264752117677662
ASSAM,NORTH CACHAR HILLS,ASSAM,DIMA HASAO,214102,19.0,438.7,100.9,595.3335,196.382,8.874274878329022,20490.23362696285,4712.7070274915695,27806.06906988258,0.9172357100821104
ASSAM,GOALPARA,ASSAM,GOALPARA,1008183,44.0,946.1,382.5,1200.0112,860.3210000000001,4.364287039158565,9384.209017608906,3793.9540738139804,11902.712106829811,0.8533381340490765
ASSAM,GOLAGHAT,ASSAM,GOLAGHAT,1066888,62.0,1494.0,699.5,2448.6194,1176.2469999999998,5.811294156462534,14003.344306056493,6556.452036202488,22951.044533259348,1.102502793170417
ASSAM,HAILAKANDI,ASSAM,HAILAKANDI,659296,28.0,749.5,261.8,1024.8364000000001,585.708,4.246954327039751,11368.186671843907,3970.9022957821676,15544.404941028008,0.8883839732077853
ASSAM,JORHAT,ASSAM,JORHAT,1092256,86.0,3325.5,1399.1,4787.7734,1443.829,7.873612046992646,30446.159142179124,12809.268156915596,43833.80269826854,1.321877838162482
ASSAM,KAMRUP,ASSAM,KAMRUP,1517542,83.0,2110.7,930.9,2311.6236999999996,1570.8980000000001,5.469370864200134,13908.67600369545,6134.2618523902465,15232.683510571698,1.035159488172321
ASSAM,KAMRUP METROPOLITAN,ASSAM,KAMRUP METROPOLITAN,1253938,269.0,31185.1,11217.5,38393.1321,3356.5160000000005,21.452416307664333,248697.30401343608,89458.17097815043,306180.46586035355,2.676779872689081
ASSAM,KARBI ANGLONG,ASSAM,KARBI ANGLONG,956313,55.0,1027.4,411.2,1506.0881,785.052,5.751255080711022,10743.34449076819,4299.84743488795,15748.903340224382,0.8209153279313363
ASSAM,KARIMGANJ,ASSAM,KARIMGANJ,1228686,54.0,1814.3,563.8,2466.3566,1053.914,4.394938983597111,14766.181107296738,4588.641849911206,20073.12364591116,0.85775698591829
ASSAM,KOKRAJHAR,ASSAM,KOKRAJHAR,887142,32.0,1222.8,346.7,1554.6514,764.825,3.6070888313257625,13783.588196703571,3908.0553056895064,17524.267817328004,0.8621224110683521
ASSAM,LAKHIMPUR,ASSAM,LAKHIMPUR,1042137,56.0,1089.0,701.4,1485.1228999999998,1085.701,5.373573723992143,10449.681759691864,6730.40108930016,14250.745343462519,1.0418025653057132
ASSAM,MORIGAON,ASSAM,MORIGAON,957423,38.0,736.2,455.4,1009.298,1033.6109999999999,3.9689875843801534,7689.391209528077,4756.518278754532,10541.819028788737,1.0795761121259881
ASSAM,NAGAON,ASSAM,NAGAON,2823768,118.0,3559.9,1482.6,5276.939999999999,3114.6820000000002,4.178813556921107,12606.9138824436,5250.431338551893,18687.583399202762,1.1030233361947583
ASSAM,NALBARI,ASSAM,NALBARI,771639,52.0,1133.6,568.3,1475.6834999999999,870.3160000000001,6.73890251788725,14690.807488994205,7364.8428863756235,19124.01394952821,1.127879746876454
ASSAM,SIBSAGAR,ASSAM,SIVASAGAR,1151050,78.0,2476.0,1087.4,3740.0674,1237.797,6.776421528169933,21510.79449198558,9447.026627861518,32492.658007905826,1.0753633638851483
ASSAM,SONITPUR,ASSAM,SONITPUR,1924110,104.0,2857.3,1362.4,4155.2948,1881.4020000000003,5.405096382223469,14849.982589353,7080.676260712745,21595.931625530764,0.9778037638180771
ASSAM,TINSUKIA,ASSAM,TINSUKIA,1327929,95.0,3466.5,1205.8,4670.1967,1391.8549999999996,7.153996938089311,26104.55830093326,9080.304745208516,35169.02409692085,1.0481396219225572
ASSAM,UDALGURI,ASSAM,UDALGURI,831668,29.0,557.4,373.6,693.877,717.3979999999999,3.4869683575657593,6702.193663817773,4492.177166850233,8343.197044974677,0.8626014226830897
BIHAR,ARARIA,BIHAR,ARARIA,2811569,94.0,1920.4,798.2,2552.5014,1932.6,3.34332893839703,6830.349886486869,2838.984211306925,9078.56574033929,0.6873742028027767
BIHAR,ARWAL,BIHAR,ARWAL,700843,34.0,806.0,194.1,1071.5452000000002,590.268,4.8513005052486795,11500.435903618927,2769.521847261084,15289.375794578817,0.8422257195976846
BIHAR,AURANGABAD,BIHAR,AURANGABAD,2540073,115.0,3589.1,1051.4,5311.187899999999,1983.68,4.527428936097507,14129.908864823963,4139.251116011233,20909.587637835604,0.7809539332137305
BIHAR,BANKA,BIHAR,BANKA,2034763,70.0,1634.9,633.7,2095.1968,1100.038,3.44020409256508,8034.842387049499,3114.367619226416,10297.006580127514,0.5406221756538723
BIHAR,BEGUSARAI,BIHAR,BEGUSARAI,2970541,138.0,4126.2,1783.7,5393.0818,2318.3250000000003,4.645618424388015,13890.399088920167,6004.63013302964,18155.217517617162,0.7804386473709672
BIHAR,BHAGALPUR,BIHAR,BHAGALPUR,3037766,187.0,6507.1,1685.4,8681.563499999998,2756.166,6.155839521543134,21420.675588573973,5548.156112090266,28578.77631127611,0.9073002989697034
BIHAR,BHOJPUR,BIHAR,BHOJPUR,2728407,144.0,4821.2,1084.7,6608.692099999999,2535.9870000000005,5.277804960916755,17670.384220536012,3975.579889657225,24221.79718788289,0.92947533120975
BIHAR,BUXAR,BIHAR,BUXAR,1706352,103.0,2947.1,773.2,4136.2396,1706.42,6.036269187131378,17271.34846737367,4531.304209213574,24240.248202012244,1.0000398510975461
BIHAR,DARBHANGA,BIHAR,DARBHANGA,3937385,193.0,5206.8,1797.3,7238.332200000001,3050.4449999999997,4.901730463238926,13224.005272534943,4564.7047469322915,18383.602822685614,0.7747388177686458
BIHAR,GAYA,BIHAR,GAYA,4391418,212.0,7021.8,1937.6,10024.2341,4006.421,4.827597828309671,15989.82378812493,4412.242241572085,22826.873005484787,0.9123296848535029
BIHAR,GOPALGANJ,BIHAR,GOPALGANJ,2562012,124.0,3472.2,883.2,4900.3225,2270.6459999999997,4.839946104858213,13552.629730071521,3447.2906450086884,19126.852255180693,0.8862745373557968
BIHAR,JAMUI,BIHAR,JAMUI,1760405,67.0,1782.5,601.4,2441.6023999999998,1353.0610000000001,3.8059423825767364,10125.510890959751,3416.259326689029,13869.549336658323,0.7686077919569646
BIHAR,JEHANABAD,BIHAR,JEHANABAD,1125313,59.0,1492.7,386.7,2125.9276999999997,974.618,5.242985729303758,13264.753895138509,3436.3772568165477,18891.878970561964,0.8660861466987407
