snapshot_label,snapshot_year,snapshot_month,region_name_raw,region_name_clean,state_name_raw,state_name_clean,district_name_raw,district_name_clean,reporting_offices_total,deposits_total_million_rs,credit_total_million_rs,deposits_total_crore_rs,credit_total_crore_rs
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ASSAM,ASSAM,Bongaigaon,BONGAIGAON,38.0,11787.0,4678.0,1178.7,467.8
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ASSAM,ASSAM,Cachar,CACHAR,104.0,43120.0,15290.0,4312.0,1529.0
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ASSAM,ASSAM,Chirang,CHIRANG,17.0,7351.0,2299.0,735.1,229.9
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ASSAM,ASSAM,Darrang,DARRANG,38.0,8393.0,4847.0,839.3,484.7
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ASSAM,ASSAM,Dhemaji,DHEMAJI,21.0,4868.0,3422.0,486.8,342.2
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ASSAM,ASSAM,Dhubri,DHUBRI,55.0,13855.0,5385.0,1385.5,538.5
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ASSAM,ASSAM,Dibrugarh,DIBRUGARH,118.0,61865.0,18202.0,6186.5,1820.2
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ASSAM,ASSAM,Goalpara,GOALPARA,44.0,9461.0,3825.0,946.1,382.5
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ASSAM,ASSAM,Golaghat,GOLAGHAT,62.0,14940.0,6995.0,1494.0,699.5
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ASSAM,ASSAM,Hailakandi,HAILAKANDI,28.0,7495.0,2618.0,749.5,261.8
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ASSAM,ASSAM,Jorhat,JORHAT,86.0,33255.0,13991.0,3325.5,1399.1
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ASSAM,ASSAM,Kamrup,KAMRUP,83.0,21107.0,9309.0,2110.7,930.9
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ASSAM,ASSAM,Kamrup Metropolitan,KAMRUP METROPOLITAN,269.0,311851.0,112175.0,31185.1,11217.5
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ASSAM,ASSAM,Karbi Anglong,KARBI ANGLONG,55.0,10274.0,4112.0,1027.4,411.2
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ASSAM,ASSAM,Karimganj,KARIMGANJ,54.0,18143.0,5638.0,1814.3,563.8
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ASSAM,ASSAM,Kokrajhar,KOKRAJHAR,32.0,12228.0,3467.0,1222.8,346.7
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ASSAM,ASSAM,Lakhimpur,LAKHIMPUR,56.0,10890.0,7014.0,1089.0,701.4
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ASSAM,ASSAM,Morigaon,MORIGAON,38.0,7362.0,4554.0,736.2,455.4
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ASSAM,ASSAM,Nagaon,NAGAON,118.0,35599.0,14826.0,3559.9,1482.6
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ASSAM,ASSAM,Nalbari,NALBARI,52.0,11336.0,5683.0,1133.6,568.3
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ASSAM,ASSAM,North Cachar Hills,NORTH CACHAR HILLS,19.0,4387.0,1009.0,438.7,100.9
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ASSAM,ASSAM,Sibsagar,SIBSAGAR,78.0,24760.0,10874.0,2476.0,1087.4
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ASSAM,ASSAM,Sonitpur,SONITPUR,104.0,28573.0,13624.0,2857.3,1362.4
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ASSAM,ASSAM,Tinsukia,TINSUKIA,95.0,34665.0,12058.0,3466.5,1205.8
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ASSAM,ASSAM,Udalguri,UDALGURI,29.0,5574.0,3736.0,557.4,373.6
2013-12,2013,12,EASTERN REGION,EASTERN REGION,BIHAR,BIHAR,Araria,ARARIA,94.0,19204.0,7982.0,1920.4,798.2
2013-12,2013,12,EASTERN REGION,EASTERN REGION,BIHAR,BIHAR,Arwal,ARWAL,34.0,8060.0,1941.0,806.0,194.1
2013-12,2013,12,EASTERN REGION,EASTERN REGION,BIHAR,BIHAR,Aurangabad,AURANGABAD,115.0,35891.0,10514.0,3589.1,1051.4
2013-12,2013,12,EASTERN REGION,EASTERN REGION,BIHAR,BIHAR,Banka,BANKA,70.0,16349.0,6337.0,1634.9,633.7
2013-12,2013,12,EASTERN REGION,EASTERN REGION,BIHAR,BIHAR,Begusarai,BEGUSARAI,138.0,41262.0,17837.0,4126.2,1783.7
2013-12,2013,12,EASTERN REGION,EASTERN REGION,BIHAR,BIHAR,Bhagalpur,BHAGALPUR,187.0,65071.0,16854.0,6507.1,1685.4
2013-12,2013,12,EASTERN REGION,EASTERN REGION,BIHAR,BIHAR,Bhojpur,BHOJPUR,144.0,48212.0,10847.0,4821.2,1084.7
2013-12,2013,12,EASTERN REGION,EASTERN REGION,BIHAR,BIHAR,Buxar,BUXAR,103.0,29471.0,7732.0,2947.1,773.2
2013-12,2013,12,EASTERN REGION,EASTERN REGION,BIHAR,BIHAR,Darbhanga,DARBHANGA,193.0,52068.0,17973.0,5206.8,1797.3
2013-12,2013,12,EASTERN REGION,EASTERN REGION,BIHAR,BIHAR,Gaya,GAYA,212.0,70218.0,19376.0,7021.8,1937.6
2013-12,2013,12,EASTERN REGION,EASTERN REGION,BIHAR,BIHAR,Gopalganj,GOPALGANJ,124.0,34722.0,8832.0,3472.2,883.2
2013-12,2013,12,EASTERN REGION,EASTERN REGION,BIHAR,BIHAR,Jamui,JAMUI,67.0,17825.0,6014.0,1782.5,601.4
2013-12,2013,12,EASTERN REGION,EASTERN REGION,BIHAR,BIHAR,Jehanabad,JEHANABAD,59.0,14927.0,3867.0,1492.7,386.7
2013-12,2013,12,EASTERN REGION,EASTERN REGION,BIHAR,BIHAR,Kaimur,KAIMUR,81.0,18617.0,9836.0,1861.7,983.6
2013-12,2013,12,EASTERN REGION,EASTERN REGION,BIHAR,BIHAR,Katihar,KATIHAR,124.0,26508.0,10357.0,2650.8,1035.7
2013-12,2013,12,EASTERN REGION,EASTERN REGION,BIHAR,BIHAR,Khagaria,KHAGARIA,69.0,14413.0,5780.0,1441.3,578.0
2013-12,2013,12,EASTERN REGION,EASTERN REGION,BIHAR,BIHAR,Kishanganj,KISHANGANJ,65.0,10648.0,6003.0,1064.8,600.3
2013-12,2013,12,EASTERN REGION,EASTERN REGION,BIHAR,BIHAR,Lakhisarai,LAKHISARAI,51.0,13460.0,3934.0,1346.0,393.4
